parent,term,tree
Uthungulu District Municipality (DC28),uMlalazi Local Municipality (KZN284),regions
Vhembe District Municipality (DC34),Makhado Local Municipality (LIM344),regions
Vhembe District Municipality (DC34),Musina Local Municipality (LIM341),regions
Vhembe District Municipality (DC34),New Local Municipality (LIM345),regions
Vhembe District Municipality (DC34),Thulamela Local Municipality (LIM343),regions
Waterberg District Municipality (DC36),Bela-Bela Local Municipality (LIM366),regions
Waterberg District Municipality (DC36),Lephalale Local Municipality (LIM362),regions
Waterberg District Municipality (DC36),Modimolle/Mookgophong Local Municipality (LIM368),regions
Waterberg District Municipality (DC36),Mogalakwena Local Municipality (LIM367),regions
Waterberg District Municipality (DC36),Thabazimbi Local Municipality (LIM361),regions
West Coast District Municipality (DC1),Bergrivier Local Municipality (WC013),regions
West Coast District Municipality (DC1),Cederberg Local Municipality (WC012),regions
West Coast District Municipality (DC1),Matzikama Local Municipality (WC011),regions
West Coast District Municipality (DC1),Saldanha Bay Local Municipality (WC014),regions
West Coast District Municipality (DC1),Swartland Local Municipality (WC015),regions
West Rand District Municipality (DC48),Merafong City Local Municipality (GT484),regions
West Rand District Municipality (DC48),Mogale City Local Municipality (GT481),regions
West Rand District Municipality (DC48),Rand West City Local Municipality (GT485),regions
Xhariep District Municipality (DC16),Kopanong Local Municipality (FS162),regions
Xhariep District Municipality (DC16),Letsemeng Local Municipality (FS161),regions
Xhariep District Municipality (DC16),Mohokare Local Municipality (FS163),regions
Z F Mgcawu District Municipality (DC8),!Kheis Local Municipality (NC084),regions
Z F Mgcawu District Municipality (DC8),Dawid Kruiper Local Municipality (NC087),regions
Z F Mgcawu District Municipality (DC8),Kai !Garib Local Municipality (NC082),regions
Z F Mgcawu District Municipality (DC8),Kgatelopele Local Municipality (NC086),regions
Z F Mgcawu District Municipality (DC8),Tsantsabane Local Municipality (NC085),regions
Zululand District Municipality (DC26),Abaqulusi Local Municipality (KZN263),regions
Zululand District Municipality (DC26),eDumbe Local Municipality (KZN261),regions
Zululand District Municipality (DC26),Nongoma Local Municipality (KZN265),regions
Zululand District Municipality (DC26),Ulundi Local Municipality (KZN266),regions
Zululand District Municipality (DC26),UPhongolo Local Municipality (KZN262),regions
